velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.0078125,,0.5,1.68917002038,0.00443475020446,0.104283994605,8.88410251473,4.93232005508,8.17829345415,0.174566509225,0.551911632843,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.0078125,,0.5,0.935294236929,0.0509220495509,6.21196805495,0.937950205465,0.923902994156,0.929145024974,6.29861152971,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.0078125,,0.5,0.952800460274,0.0499573013652,6.07773651141,0.952694682254,0.952115152018,0.952046175609,6.09072388109,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.0078125,,1.0,0.228720350996,0.00220089353166,0.238906096271,0.333114929758,4.42581897777,4.83812872314,0.17397359336,0.559498368291,0,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.0078125,,1.0,1.68882660959,0.00444488574914,0.104979627912,8.84400438321,4.93489215678,8.20611761085,0.178931348584,0.470372749689,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.0078125,,1.0,0.91103200175,0.0481536005969,5.85271773812,0.921805663882,0.909165210254,0.920359957389,6.31970256356,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.0078125,,1.0,0.950529478491,0.0501879671191,6.11346202109,0.950417818749,0.947966320304,0.947895479419,5.987758594,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.015625,,0.5,0.393325887279,0.0070434828554,1,0,3.54117126382,1.31129885797,0.971245229275,0,0,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.015625,,0.5,1.05039568678,0.0101881049526,0.197794892615,2.65480718063,3.9938920145,3.29656906802,0.186738476348,0.0312364826319,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.015625,,0.5,0.924204633958,0.0489547795079,5.94171584665,0.928391866884,0.920369226927,0.925823963647,6.32775247077,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.015625,,0.5,0.943774136961,0.0505678101572,6.15894282751,0.943985914243,0.943405091969,0.943768598553,5.98338843738,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.015625,,1.0,0.393293352222,0.0070434828554,1,0,3.54035376663,1.22412992226,0.972512140905,0,0,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.015625,,1.0,1.0500726278,0.010187150025,0.192239695283,2.68460921892,3.99346455603,3.2966015904,0.189408129725,0.0723654433569,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.015625,,1.0,0.827061558967,0.0497332725059,6.14275392945,0.843598909884,0.899788804332,0.910706574186,5.96554524607,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.015625,,1.0,0.918265621575,0.050853514885,6.29986275065,0.922129751954,7975.73703702,7991.07820945,6.05602531915,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.03125,,0.5,0.570464330081,0.00696550362158,1,0,1.82284335137,0,1,0,0,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.03125,,0.5,0.795553173764,0.0496573639033,6.31188706825,0.779421934467,0.814682340729,0.793897084022,6.46802486587,0,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.03125,,0.5,0.765509313579,0.0358835789792,4.26163752179,0.785637824784,0.930959217486,0.931232475189,5.97466722047,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.03125,,0.5,0.951777769992,0.0497141211315,6.1873702741,0.951472710303,0.950507390572,0.950222110677,6.16775515841,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.03125,,1.0,0.570183778098,0.00696550362158,1,0,1.82398380077,0,1,0,0,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.03125,,1.0,0.808436029899,0.0498721221187,6.15609327877,0.794828354482,0.806394809855,0.79534072287,6.72065876021,0,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.03125,,1.0,3347.71882605,0.0631818100119,8.74764545719,3705.8891431,0.908412732699,0.911970775412,5.28804475371,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.03125,,1.0,0.950262434559,0.0495606298438,6.16673878243,0.950117878172,0.950367700001,0.950072840072,6.17401454591,0,0,0,UpwindUext,,,,,,
