TIME,maxMagU,phaseVolumeRelError,m2CosCoefficient,m2SinCoefficient,m2Amplitude,m2Phase,minGradPsiBand,maxGradPsiBand,pLaplace
0.0032455737,0.09695299244,0.0009417822211,-4.993744025e-05,2.056660221e-08,4.993744448e-05,1.570590403,0.5885151172,1.519342333,68.95005511
0.0032667866,0.09875733759,0.0009635421927,-5.111139415e-05,2.008067182e-08,5.111139809e-05,1.570599887,0.5918654232,1.517844582,69.13808064
0.0032879995,0.1006007525,0.0009699481106,-5.227288154e-05,1.958563467e-08,5.227288521e-05,1.570608987,0.5953815666,1.516330553,69.34548712
0.0033092124,0.1025709238,0.0009706029923,-5.342157268e-05,1.910978587e-08,5.34215761e-05,1.570617468,0.5990352307,1.514799395,69.25517144
0.0033304253,0.1047298554,0.0009668560625,-5.455710408e-05,1.866555147e-08,5.455710728e-05,1.570625262,0.6027969152,1.513256016,69.18927055
0.0033516382,0.1062957833,0.0009604904155,-5.567859452e-05,1.455501847e-08,5.567859642e-05,1.570665621,0.6067267256,1.511630538,69.34196638
0.0033728511,0.1076720891,0.0009800806936,-5.678667716e-05,9.880464929e-09,5.678667802e-05,1.57070933,0.6108412218,1.509950286,69.27769751
0.003394064,0.1088843854,0.001044059621,-5.788135115e-05,8.705123318e-09,5.78813518e-05,1.570721129,0.6150900501,1.508286952,69.2138193
0.0034152769,0.1099282379,0.00113601577,-5.896182374e-05,7.859603892e-09,5.896182426e-05,1.570729677,0.6194399731,1.506604529,69.15854326
0.0034364898,0.1109022103,0.001231065641,-6.002728868e-05,6.95750506e-09,6.002728908e-05,1.570738374,0.623856323,1.504892081,68.64853915
0.0034577027,0.1117936761,0.001328118399,-6.107785306e-05,6.000880316e-09,6.107785336e-05,1.570747202,0.6283362064,1.503142997,68.60381543
0.0034789156,0.1126356447,0.001426281327,-6.211403444e-05,5.038349774e-09,6.211403464e-05,1.57075577,0.6328724192,1.501350802,68.55923494
0.0035001285,0.1134371498,0.001524567392,-6.314403604e-05,7.334971341e-10,6.314403604e-05,1.570790519,0.6374595453,1.499515335,68.51627663
0.0035213414,0.1142045853,0.001621990617,-6.4196811e-05,-1.226404502e-09,6.419681101e-05,-1.570786775,0.6420958436,1.497636302,68.47425911
0.0035425543,0.1149060856,0.001717922135,-6.523640511e-05,-1.803321396e-09,6.523640514e-05,-1.570782505,0.6467727958,1.495709147,68.43322391
0.0035637672,0.1155511199,0.001811908342,-6.626304016e-05,-2.592183264e-10,6.626304016e-05,-1.570794371,0.6514785672,1.493733372,68.39319257
0.0035849801,0.1161561851,0.001903735848,-6.728767207e-05,8.467784453e-10,6.728767207e-05,1.570790035,0.6562058703,1.491713528,68.35421527
0.003606193,0.116740915,0.001993262165,-6.830102975e-05,1.561756564e-09,6.830102977e-05,1.570784894,0.6609474948,1.48965693,68.31596702
0.0036274059,0.1172823072,0.002080291211,-6.929750602e-05,7.252764632e-10,6.929750603e-05,1.570791094,0.665698962,1.487569253,68.27904924
0.0036486188,0.1178149793,0.002164464399,-7.02752325e-05,-1.654961737e-10,7.02752325e-05,-1.570795149,0.6704528862,1.48548563,68.24287941
0.0036698317,0.1183354512,0.002245446397,-7.123388471e-05,-1.107558566e-09,7.123388472e-05,-1.570788553,0.6740918512,1.48345826,68.2078021
0.0036910446,0.1188486004,0.002323149967,-7.217328033e-05,-2.095652638e-09,7.217328036e-05,-1.570781809,0.6747418336,1.481417396,68.17357087
0.0037122575,0.1193554271,0.002397559069,-7.309325332e-05,-3.121784151e-09,7.309325339e-05,-1.570774972,0.6754015245,1.479366841,68.14019226
0.0037334704,0.1198529284,0.002468685053,-7.399363544e-05,-4.182738848e-09,7.399363556e-05,-1.570768063,0.6760687897,1.47731057,68.10772308
0.0037546833,0.1203727338,0.002536557521,-7.487424543e-05,-5.276443253e-09,7.487424562e-05,-1.570761091,0.6767422028,1.475251672,68.07605677
0.0037758962,0.1209595405,0.002601182776,-7.573489868e-05,-6.400860812e-09,7.573489895e-05,-1.570754068,0.677420988,1.473192735,68.04526496
0.0037971091,0.1215113125,0.002662502333,-7.657541372e-05,-7.554602339e-09,7.657541409e-05,-1.570746999,0.6781048109,1.471136834,68.01558388
0.003818322,0.122108297,0.002720530809,-7.739557947e-05,-8.736915503e-09,7.739557996e-05,-1.570739884,0.6787936164,1.469087374,67.98639162
0.0038395349,0.1226865637,0.00277533834,-7.819516739e-05,-9.949151578e-09,7.819516803e-05,-1.570732709,0.6794876087,1.467047829,67.9579036
