candidate,N_CELLS,mesh_variant,mode,epsilon,radius,fit_half_width,regularization_operator,tangential_regularization,regularization_iterations,preserve_modes_through,topology_valid,interface_elements,interface_components,open_endpoints,curvature_fits,curvature_fallbacks,exact_mode_amplitude,raw_mode_amplitude,regularized_mode_amplitude,raw_amplitude_transfer,regularized_amplitude_transfer,raw_phase_error_deg,regularized_phase_error_deg,raw_L2,raw_Linf,raw_relative_L2,raw_relative_Linf,regularized_L2,regularized_Linf,regularized_relative_L2,regularized_relative_Linf,utility_status,row_pass,row_reason
h5_helmholtz_l16,32,uniform,2,0.02,0.001,5,helmholtz,16,120,4,1,28,1,0,28,0,59.722432511,99.4744443178,24.2679274161,1.66561273772,0.40634526083,0.118796358091,0.146623365328,403.535740341,496.745976687,0.403293375196,0.471016939947,31.6243052071,56.6918263928,0.0316053115256,0.0537554642428,0,1,topology-only coarse point
h5_helmholtz_l16,32,uniform,3,0.02,0.001,5,helmholtz,16,120,4,1,28,1,0,28,0,159.668531205,106.776235411,13.6608563971,0.668736880119,0.085557600449,1.40419285997,0.950097057962,399.909870441,465.518913198,0.397687330422,0.403623489177,105.196681214,173.451723832,0.104612039895,0.150389571706,0,1,topology-only coarse point
h5_helmholtz_l16,32,uniform,4,0.02,0.001,5,helmholtz,16,120,4,1,28,1,0,28,0,281.67008644,33.8384104135,2.64020404209,0.120134909749,0.00937339167059,1.41900683008,1.06552803313,418.244438323,657.478956916,0.409970888584,0.532988700602,203.532952721,328.224182491,0.199506742559,0.266076622973,0,1,topology-only coarse point
h5_helmholtz_l16,32,perturbed,2,0.02,0.001,5,helmholtz,16,120,4,1,28,1,0,28,0,59.7096014982,85.1002131073,20.7766155885,1.42523498687,0.347961049265,8.90729152784,9.18422655336,404.873799331,521.057769045,0.404677895945,0.493792929962,34.3647620817,63.6312313731,0.0343481342504,0.0603016671921,0,1,topology-only coarse point
h5_helmholtz_l16,32,perturbed,3,0.02,0.001,5,helmholtz,16,120,4,1,28,1,0,28,0,160.822993956,138.168789329,17.7490386417,0.859135786059,0.110363811823,7.85345906194,8.52225088671,397.120648688,487.351222229,0.394732712478,0.422534911898,102.974944037,173.149393944,0.102355742798,0.150121022741,0,1,topology-only coarse point
h5_helmholtz_l16,32,perturbed,4,0.02,0.001,5,helmholtz,16,120,4,1,25,1,0,25,0,327.804110817,21.7294516083,1.10635801547,0.0662879167505,0.00337505839301,179.60770571,133.994735449,551.937808153,859.063129532,0.539833016697,0.673691527461,223.868125909,356.757607784,0.218958375321,0.279775221935,0,1,topology-only coarse point
h5_helmholtz_l16,64,uniform,2,0.02,0.001,5,helmholtz,16,120,4,1,52,1,0,52,0,59.8045228912,72.5823513002,37.7974540613,1.21365990048,0.632016647471,0.0127868423088,0.0290167793188,103.832536022,123.989221153,0.103780012863,0.117341911425,16.4476623339,30.604455682,0.0164393423678,0.028963689702,0,0,amplitude
h5_helmholtz_l16,64,uniform,3,0.02,0.001,5,helmholtz,16,120,4,1,52,1,0,52,0,159.611265503,149.441933521,48.4426369245,0.936286878309,0.303503870932,0.189440746194,0.147379734752,106.589767738,130.139206623,0.106009209232,0.112979005919,78.981676779,121.220412254,0.0785514902306,0.105236246854,0,0,amplitude
h5_helmholtz_l16,64,uniform,4,0.02,0.001,5,helmholtz,16,120,4,1,52,1,0,52,0,300.704251406,223.544028515,48.0250153287,0.743401622923,0.159708468052,0.0695324432174,0.0691976941806,135.781904247,197.413378193,0.133022461839,0.154851941312,178.417625124,264.666107745,0.174791713675,0.207605284702,0,0,amplitude
h5_helmholtz_l16,64,perturbed,2,0.02,0.001,5,helmholtz,16,120,4,1,51,1,0,51,0,59.7675460135,71.1024493465,36.9226675474,1.1896498031,0.617771182024,0.941903121955,0.502851855826,108.296177249,142.489766298,0.108240419846,0.13484519668,16.9785313364,32.7382392945,0.0169697897646,0.0309818342138,0,0,amplitude
